City,Pop1,Pop2,Pop3,U1,U2,U3
North Randall village,"1,027","1,027","1,026","1,020",,,
North Ridgeville city,"29,465","29,466","29,482","29,492",,,
North Robinson village,205,205,205,205,,,
North Royalton city,"30,444","30,444","30,393","30,206",,,
North Star village,236,236,236,235,,,
Northwood city,"5,265","5,265","5,269","5,304",,,
Norton city,"12,085","12,085","12,079","12,040",,,
Norwalk city,"17,012","17,012","17,009","16,977",,,
Norwich village,102,102,102,101,,,
Norwood city,"19,207","19,207","19,196","19,159",,,
Oak Harbor village,"2,759","2,759","2,758","2,758",,,
Oak Hill village,"1,551","1,551","1,553","1,551",,,
Oakwood village,"3,667","3,667","3,660","3,638",,,
Oakwood city,"9,202","9,202","9,213","9,245",,,
Oakwood village,608,611,611,605,,,
Oberlin city,"8,286","8,286","8,289","8,292",,,
Obetz village,"4,532","4,532","4,540","4,595",,,
Octa village,59,59,59,59,,,
Ohio City village,705,705,704,701,,,
Old Washington village,279,279,279,277,,,
Olmsted Falls city,"9,024","9,024","9,009","8,954",,,
Ontario city,"6,225","6,225","6,213","6,175",,,
Orange village,"3,323","3,323","3,318","3,297",,,
Orangeville village,197,197,197,197,,,
Oregon city,"20,291","20,291","20,279","20,206",,,
Orient village,270,270,270,273,,,
Orrville city,"8,380","8,380","8,381","8,387",,,
Orwell village,"1,660","1,660","1,660","1,656",,,
Osgood village,302,302,302,301,,,
Ostrander village,643,643,648,659,,,
Ottawa village,"4,460","4,465","4,458","4,438",,,
Ottawa Hills village,"4,517","4,517","4,513","4,499",,,
Ottoville village,976,976,974,970,,,
Otway village,87,87,87,87,,,
Owensville village,794,794,797,802,,,
Oxford city,"21,371","21,371","21,398","21,444",,,
Painesville city,"19,563","19,563","19,564","19,549",,,
Palestine village,200,200,200,199,,,
Pandora village,"1,153","1,153","1,151","1,146",,,
Parma city,"81,601","81,601","81,464","80,968",,,
Parma Heights city,"20,718","20,718","20,683","20,558",,,
Parral village,218,218,218,218,,,
Pataskala city,"14,962","14,962","14,984","15,031",,,
Patterson village,139,139,139,139,,,
Paulding village,"3,605","3,605","3,601","3,568",,,
Payne village,"1,194","1,194","1,193","1,181",,,
Peebles village,"1,782","1,782","1,783","1,776",,,
Pemberville village,"1,371","1,371","1,371","1,382",,,
Peninsula village,565,565,565,562,,,
Pepper Pike city,"5,979","5,979","5,969","5,934",,,
Perry village,"1,663","1,663","1,662","1,662",,,
Perrysburg city,"20,623","20,623","20,632","20,772",,,
Perrysville village,735,728,728,729,,,
Phillipsburg village,557,557,558,560,,,
Philo village,733,733,733,734,,,
Pickerington city,"18,291","18,291","18,319","18,408",,,
Piketon village,"2,181","2,181","2,182","2,175",,,
Pioneer village,"1,380","1,380","1,376","1,379",,,
Piqua city,"20,522","20,522","20,518","20,592",,,
Pitsburg village,388,388,388,387,,,
Plain City village,"4,225","4,225","4,228","4,229",,,
Plainfield village,157,157,157,157,,,
Pleasant City village,447,447,447,445,,,
Pleasant Hill village,"1,200","1,200","1,201","1,204",,,
Pleasant Plain village,154,154,154,156,,,
Pleasantville village,960,960,960,966,,,
Plymouth village,"1,857","1,857","1,856","1,847",,,
Poland village,"2,555","2,555","2,549","2,537",,,
Polk village,336,336,336,336,,,
Pomeroy village,"1,852","1,852","1,850","1,845",,,
Portage village,438,438,438,441,,,
Port Clinton city,"6,056","6,056","6,052","6,050",,,
Port Jefferson village,371,371,370,370,,,
Portsmouth city,"20,226","20,226","20,230","20,171",,,
Port Washington village,569,569,569,568,,,
Port William village,254,254,253,254,,,
Potsdam village,288,288,288,290,,,
Powell city,"11,500","11,500","11,568","11,777",,,
Powhatan Point village,"1,592","1,592","1,591","1,586",,,
Proctorville village,574,574,574,574,,,
Prospect village,"1,112","1,112","1,112","1,107",,,
Put-in-Bay village,138,138,138,138,,,
Quaker City village,502,502,502,500,,,
Quincy village,706,706,705,704,,,
Racine village,675,675,674,673,,,
Rarden village,159,159,159,159,,,
Ravenna city,"11,724","11,724","11,721","11,739",,,
Rawson village,570,570,570,573,,,
Rayland village,417,417,417,412,,,
Reading city,"10,385","10,385","10,380","10,359",,,
Reminderville village,"3,404","3,404","3,402","3,391",,,
Rendville village,36,36,36,36,,,
Republic village,549,549,548,547,,,
Reynoldsburg city,"35,893","35,893","35,960","36,293",,,
Richfield village,"3,648","3,648","3,645","3,634",,,
Richmond village,481,481,481,475,,,
Richmond Heights city,"10,546","10,546","10,528","10,465",,,
Richwood village,"2,229","2,232","2,236","2,252",,,
Ridgeway village,338,338,338,338,,,
Rio Grande village,830,834,834,835,,,
Ripley village,"1,750","1,750","1,751","1,745",,,
Risingsun village,606,606,606,610,,,
Rittman city,"6,491","6,491","6,492","6,497",,,
Riverlea village,545,545,546,552,,,
Riverside city,"25,201","25,201","25,234","25,319",,,
Roaming Shores village,"1,508","1,508","1,508","1,507",,,
Rochester village,182,182,182,181,,,
Rock Creek village,529,529,529,529,,,
Rockford village,"1,120","1,120","1,121","1,121",,,
Rocky Ridge village,417,417,416,417,,,
Rocky River city,"20,213","20,213","20,179","20,056",,,
Rogers village,237,237,237,237,,,
Rome village,94,94,94,93,,,
Roseville village,"1,852","1,852","1,854","1,861",,,
Rossburg village,201,201,201,200,,,
Rossford city,"6,293","6,293","6,297","6,338",,,
Roswell village,219,219,219,219,,,
Rushsylvania village,516,516,516,514,,,
Rushville village,302,302,302,304,,,
Russells Point village,"1,391","1,391","1,390","1,386",,,
Russellville village,561,561,561,559,,,
Russia village,640,640,639,638,,,
Rutland village,393,393,393,392,,,
Sabina village,"2,564","2,564","2,554","2,557",,,
St. Bernard city,"4,368","4,368","4,365","4,356",,,
St. Clairsville city,"5,184","5,184","5,181","5,166",,,
St. Henry village,"2,427","2,427","2,426","2,428",,,
St. Louisville village,373,373,373,375,,,
St. Martin village,129,129,129,128,,,
St. Marys city,"8,332","8,332","8,333","8,313",,,
St. Paris village,"2,089","2,089","2,083","2,074",,,
Salem city,"12,303","12,301","12,302","12,270",,,
Salesville village,129,129,129,129,,,
Salineville village,"1,311","1,310","1,311","1,307",,,
Sandusky city,"25,793","25,793","25,778","25,682",,,
Sarahsville village,166,166,166,165,,,
Sardinia village,980,980,979,976,,,
Savannah village,413,413,413,414,,,
Scio village,763,763,762,762,,,
Scott village,286,286,286,285,,,
Seaman village,944,944,944,942,,,
Sebring village,"4,420","4,420","4,410","4,391",,,
Senecaville village,457,457,457,455,,,
Seven Hills city,"11,804","11,812","11,791","11,719",,,
Seven Mile village,751,751,751,755,,,
Seville village,"2,296","2,296","2,298","2,307",,,
Shadyside village,"3,785","3,785","3,782","3,771",,,
Shaker Heights city,"28,448","28,448","28,400","28,226",,,
Sharonville city,"13,560","13,560","13,557","13,544",,,
Shawnee village,655,655,655,660,,,
Shawnee Hills village,681,681,685,698,,,
Sheffield village,"3,982","3,983","3,986","3,986",,,
Sheffield Lake city,"9,137","9,137","9,143","9,145",,,
Shelby city,"9,317","9,317","9,300","9,242",,,
Sherrodsville village,304,304,304,303,,,
Sherwood village,827,827,827,823,,,
Shiloh village,649,649,648,643,,,
Shreve village,"1,514","1,514","1,514","1,515",,,
Sidney city,"21,229","21,229","21,203","21,178",,,
Silver Lake village,"2,519","2,519","2,517","2,510",,,
Silverton city,"4,788","4,781","4,779","4,769",,,
Sinking Spring village,133,133,133,132,,,
Smithfield village,869,869,866,859,,,
Smithville village,"1,252","1,252","1,252","1,252",,,
Solon city,"23,348","23,348","23,308","23,166",,,
Somerset village,"1,481","1,481","1,482","1,490",,,
Somerville village,281,281,281,284,,,
South Amherst village,"1,688","1,688","1,687","1,690",,,
South Bloomfield village,"1,744","1,744","1,748","1,754",,,
South Charleston village,"1,693","1,693","1,692","1,685",,,
South Euclid city,"22,295","22,295","22,258","22,126",,,
South Lebanon village,"4,115","4,123","4,136","4,166",,,
South Point village,"3,958","3,958","3,956","3,961",,,
South Russell village,"3,810","3,810","3,810","3,803",,,
South Salem village,204,204,204,206,,,
South Solon village,355,355,355,354,,,
South Vienna village,384,384,384,381,,,
South Webster village,866,866,867,863,,,
South Zanesville village,"1,989","1,989","1,990","1,993",,,
Sparta village,161,161,161,160,,,
Spencer village,753,753,755,758,,,
Spencerville village,"2,223","2,223","2,222","2,218",,,
Springboro city,"17,409","17,409","17,456","17,588",,,
Springdale city,"11,223","11,223","11,217","11,195",,,
Springfield city,"60,608","60,608","60,554","60,333",,,
Spring Valley village,479,479,479,483,,,
Stafford village,81,81,81,81,,,
Steubenville city,"18,659","18,659","18,632","18,440",,,
Stockport village,503,503,503,503,,,
Stone Creek village,177,177,177,177,,,
Stoutsville village,560,560,560,565,,,
Stow city,"34,837","34,837","34,819","34,711",,,
Strasburg village,"2,608","2,608","2,609","2,607",,,
Stratton village,294,294,294,290,,,
Streetsboro city,"16,028","16,028","16,024","16,050",,,
Strongsville city,"44,750","44,750","44,674","44,400",,,
Struthers city,"10,713","10,713","10,690","10,640",,,
Stryker village,"1,335","1,335","1,331","1,333",,,
Sugar Bush Knolls village,177,177,177,177,,,
Sugarcreek village,"2,220","2,220","2,219","2,217",,,
Sugar Grove village,426,426,426,428,,,
Summerfield village,254,254,254,255,,,
Summitville village,135,135,135,135,,,
Sunbury village,"4,389","4,389","4,415","4,493",,,
Swanton village,"3,690","3,690","3,690","3,675",,,
Sycamore village,861,861,861,863,,,
Sylvania city,"18,965","18,965","18,953","18,886",,,
Syracuse village,826,826,825,823,,,
Tallmadge city,"17,537","17,537","17,527","17,473",,,
Tarlton village,282,282,282,284,,,
Terrace Park village,"2,251","2,251","2,249","2,246",,,
The Village of Indian Hill city,"5,785","5,785","5,781","5,771",,,
Thornville village,991,995,997,"1,002",,,
Thurston village,604,604,604,609,,,
Tiffin city,"17,963","17,963","17,933","17,879",,,
Tiltonsville village,"1,372","1,372","1,369","1,353",,,
Timberlake village,675,675,675,675,,,
Tipp City city,"9,689","9,689","9,687","9,721",,,
Tiro village,280,280,280,277,,,
Toledo city,"287,208","287,208","287,031","286,038",,,
Tontogany village,367,367,367,369,,,
Toronto city,"5,091","5,091","5,082","5,024",,,
Tremont City village,375,375,375,372,,,
Trenton city,"11,869","11,869","11,893","11,931",,,
Trimble village,390,390,390,390,,,
Trotwood city,"24,431","24,431","24,460","24,542",,,
Troy city,"25,058","25,058","25,053","25,143",,,
Tuscarawas village,"1,056","1,056","1,056","1,056",,,
Twinsburg city,"18,795","18,795","18,784","18,727",,,
Uhrichsville city,"5,413","5,413","5,413","5,408",,,
Union city,"6,419","6,419","6,426","6,448",,,
Union City village,"1,666","1,666","1,667","1,662",,,
Unionville Center village,233,233,233,236,,,
Uniopolis village,222,222,222,222,,,
University Heights city,"13,539","13,539","13,518","13,445",,,
Upper Arlington city,"33,771","33,771","33,841","34,223",,,
Upper Sandusky city,"6,596","6,596","6,594","6,619",,,
Urbana city,"11,793","11,793","11,768","11,707",,,
Urbancrest village,960,960,961,974,,,
Utica village,"2,132","2,132","2,135","2,142",,,
Valley Hi village,212,212,212,211,,,
Valley View village,"2,034","2,034","2,031","2,018",,,
Valleyview village,620,620,621,628,,,
Van Buren village,328,328,328,329,,,
Vandalia city,"15,246","15,246","15,264","15,317",,,
Vanlue village,359,359,359,360,,,
Van Wert city,"10,846","10,846","10,825","10,793",,,
Venedocia village,124,124,124,124,,,
Vermilion city,"10,594","10,586","10,588","10,569",,,
Verona village,494,494,493,492,,,
Versailles village,"2,687","2,687","2,691","2,679",,,
Vinton village,222,222,222,222,,,
Wadsworth city,"21,567","21,567","21,598","21,683",,,
Waite Hill village,471,471,471,471,,,
Wakeman village,"1,047","1,047","1,047","1,044",,,
Walbridge village,"3,019","3,019","3,022","3,040",,,
Waldo village,338,338,338,337,,,
Walton Hills village,"2,281","2,281","2,278","2,263",,,
Wapakoneta city,"9,867","9,867","9,866","9,843",,,
Warren city,"41,557","41,557","41,493","41,358",,,
Warrensville Heights city,"13,542","13,542","13,519","13,437",,,
Warsaw village,682,682,682,683,,,
Washington Court House city,"14,192","14,192","14,204","14,169",,,
Washingtonville village,801,801,800,798,,,
Waterville village,"5,523","5,523","5,519","5,500",,,
Wauseon city,"7,332","7,332","7,328","7,301",,,
Waverly City city,"4,408","4,406","4,406","4,395",,,
Wayne village,887,887,887,893,,,
Wayne Lakes village,718,718,718,715,,,
Waynesburg village,923,923,922,921,,,
Waynesfield village,847,847,847,845,,,
Waynesville village,"2,834","2,834","2,841","2,863",,,
Wellington village,"4,802","4,802","4,804","4,806",,,
Wellston city,"5,663","5,663","5,669","5,657",,,
Wellsville village,"3,541","3,541","3,541","3,532",,,
West Alexandria village,"1,340","1,359","1,357","1,352",,,
West Carrollton city,"13,143","13,143","13,160","13,204",,,
West Elkton village,197,197,197,196,,,
Westerville city,"36,120","36,119","36,219","36,665",,,
West Farmington village,499,499,498,496,,,
Westfield Center village,"1,115","1,115","1,116","1,122",,,
West Jefferson village,"4,222","4,222","4,223","4,217",,,
West Lafayette village,"2,321","2,321","2,319","2,323",,,
Westlake city,"32,729","32,729","32,676","32,479",,,
West Leipsic village,206,206,206,204,,,
West Liberty village,"1,805","1,805","1,803","1,798",,,
West Manchester village,474,474,473,472,,,
West Mansfield village,682,682,681,680,,,
West Millgrove village,174,174,174,175,,,
West Milton village,"4,630","4,630","4,630","4,647",,,
Weston village,"1,590","1,590","1,590","1,603",,,
West Rushville village,134,134,134,134,,,
West Salem village,"1,464","1,468","1,468","1,468",,,
West Union village,"3,241","3,241","3,244","3,231",,,
West Unity village,"1,671","1,673","1,668","1,671",,,
Wharton village,358,358,358,360,,,
Whitehall city,"18,062","18,062","18,099","18,306",,,
Whitehouse village,"4,149","4,149","4,145","4,131",,,
Wickliffe city,"12,750","12,750","12,751","12,742",,,
Wilkesville village,149,149,149,149,,,
Willard city,"6,236","6,236","6,234","6,224",,,
Williamsburg village,"2,490","2,490","2,494","2,512",,,
Williamsport village,"1,023","1,023","1,027","1,028",,,
Willoughby city,"22,268","22,268","22,269","22,252",,,
Willoughby Hills city,"9,485","9,485","9,485","9,478",,,
Willowick city,"14,171","14,171","14,172","14,161",,,
Willshire village,397,397,397,396,,,
Wilmington city,"12,520","12,520","12,481","12,488",,,
Wilmot village,304,304,304,303,,,
Wilson village,125,125,125,125,,,
Winchester village,"1,051","1,051","1,053","1,048",,,
Windham village,"2,209","2,209","2,209","2,213",,,
Wintersville village,"3,924","3,924","3,915","3,875",,,
Woodlawn village,"3,294","3,294","3,293","3,286",,,
Woodmere village,884,884,883,876,,,
Woodsfield village,"2,384","2,384","2,379","2,375",,,
Woodstock village,305,305,304,304,,,
Woodville village,"2,135","2,135","2,134","2,127",,,
Wooster city,"26,119","26,119","26,117","26,139",,,
Worthington city,"13,575","13,575","13,603","13,755",,,
Wren village,194,194,194,193,,,
Wyoming city,"8,428","8,428","8,423","8,408",,,
Xenia city,"25,719","25,719","25,724","25,925",,,
Yankee Lake village,79,79,79,79,,,
Yellow Springs village,"3,487","3,487","3,489","3,516",,,
Yorkshire village,96,96,96,96,,,
Yorkville village,"1,079","1,079","1,079","1,069",,,
Youngstown city,"66,982","66,982","66,846","66,571",,,
Zaleski village,278,278,277,277,,,
Zanesfield village,197,197,197,196,,,
Zanesville city,"25,487","25,484","25,510","25,531",,,
Zoar village,169,169,169,169,,,
