City,Pop1,Pop2,Pop3,U1,U2,U3
Celina city,"10,400","10,400","10,402","10,406",,,
Centerburg village,"1,773","1,773","1,776","1,784",,,
Centerville village,103,103,103,103,,,
Centerville city,"23,999","23,999","24,030","24,109",,,
Chagrin Falls village,"4,113","4,113","4,105","4,081",,,
Chardon city,"5,148","5,148","5,146","5,139",,,
Chatfield village,189,189,189,186,,,
Chauncey village,"1,049","1,049","1,049","1,050",,,
Cherry Fork village,155,155,155,156,,,
Chesapeake village,745,745,745,745,,,
Cheshire village,132,132,132,132,,,
Chesterhill village,289,289,289,288,,,
Chesterville village,228,228,228,229,,,
Cheviot city,"8,375","8,375","8,370","8,353",,,
Chickasaw village,290,290,290,290,,,
Chillicothe city,"21,901","21,901","21,922","21,955",,,
Chilo village,63,63,63,63,,,
Chippewa Lake village,711,711,712,715,,,
Christiansburg village,526,526,525,521,,,
Cincinnati city,"296,943","296,950","296,797","296,223",,,
Circleville city,"13,314","13,316","13,344","13,389",,,
Clarington village,384,384,383,382,,,
Clarksburg village,455,455,455,456,,,
Clarksville village,548,548,546,547,,,
Clay Center village,276,276,276,275,,,
Clayton city,"13,209","13,209","13,226","13,269",,,
Cleveland city,"396,815","396,815","396,166","393,806",,,
Cleveland Heights city,"46,121","46,121","46,043","45,764",,,
Cleves village,"3,234","3,234","3,232","3,225",,,
Clifton village,152,152,152,152,,,
Clinton village,"1,214","1,214","1,213","1,211",,,
Cloverdale village,168,168,168,167,,,
Clyde city,"6,325","6,325","6,320","6,303",,,
Coal Grove village,"2,165","2,165","2,165","2,166",,,
Coalton village,479,479,480,479,,,
Coldwater village,"4,427","4,427","4,428","4,430",,,
College Corner village,407,407,407,406,,,
Columbiana city,"6,384","6,384","6,384","6,366",,,
Columbus city,"787,033","787,073","788,696","797,434",,,
Columbus Grove village,"2,137","2,137","2,135","2,124",,,
Commercial Point village,"1,582","1,582","1,586","1,590",,,
Conesville village,347,347,347,348,,,
Congress village,185,185,185,185,,,
Conneaut city,"12,841","12,841","12,837","12,824",,,
Continental village,"1,153","1,153","1,151","1,146",,,
Convoy village,"1,085","1,085","1,084","1,080",,,
Coolville village,496,496,496,495,,,
Corning village,583,581,581,586,,,
Cortland city,"7,104","7,104","7,093","7,069",,,
Corwin village,421,421,421,424,,,
Coshocton city,"11,216","11,216","11,216","11,231",,,
Covington village,"2,584","2,584","2,583","2,593",,,
Craig Beach village,"1,180","1,180","1,176","1,173",,,
Crestline city,"4,630","4,630","4,626","4,589",,,
Creston village,"2,171","2,171","2,171","2,171",,,
Cridersville village,"1,852","1,852","1,852","1,848",,,
Crooksville village,"2,534","2,534","2,535","2,551",,,
Crown City village,413,413,413,413,,,
Cumberland village,367,367,367,365,,,
Custar village,179,179,179,180,,,
Cuyahoga Falls city,"49,652","49,652","49,625","49,473",,,
Cuyahoga Heights village,638,638,637,634,,,
Cygnet village,597,597,597,601,,,
Dalton village,"1,830","1,830","1,830","1,831",,,
Danville village,"1,044","1,044","1,047","1,051",,,
Darbyville village,222,222,222,224,,,
Dayton city,"141,527","141,527","141,696","142,148",,,
Deer Park city,"5,736","5,736","5,734","5,723",,,
Deersville village,79,79,79,79,,,
Defiance city,"16,494","16,687","16,677","16,622",,,
De Graff village,"1,285","1,285","1,284","1,281",,,
Delaware city,"34,753","34,753","34,948","35,541",,,
Dellroy village,356,356,355,354,,,
Delphos city,"7,101","7,101","7,091","7,075",,,
Delta village,"3,103","3,103","3,101","3,088",,,
Dennison village,"2,655","2,655","2,656","2,654",,,
Deshler village,"1,799","1,799","1,796","1,788",,,
Dexter City village,129,129,129,129,,,
Dillonvale village,665,665,665,658,,,
Donnelsville village,304,304,304,301,,,
Dover city,"12,826","12,826","12,825","12,816",,,
Doylestown village,"3,051","3,051","3,050","3,054",,,
Dresden village,"1,529","1,529","1,531","1,533",,,
Dublin city,"41,751","41,753","41,853","42,346",,,
Dunkirk village,875,875,877,874,,,
Dupont village,318,318,317,315,,,
East Canton village,"1,591","1,591","1,590","1,588",,,
East Cleveland city,"17,843","17,843","17,813","17,705",,,
Eastlake city,"18,577","18,577","18,578","18,565",,,
East Liverpool city,"11,195","11,227","11,228","11,199",,,
East Palestine city,"4,721","4,721","4,721","4,708",,,
East Sparta village,819,819,818,818,,,
Eaton city,"8,407","8,407","8,398","8,370",,,
Edgerton village,"2,012","2,012","2,006","2,010",,,
Edison village,437,437,436,437,,,
Edon village,834,834,833,832,,,
Eldorado village,509,509,508,506,,,
Elgin village,57,57,57,57,,,
Elida village,"1,905","1,905","1,904","1,900",,,
